이름(국명),금지체장,금지체중,수심
갈치,항문장까지의 길이 18cm,,
감성돔,25cm,,
감태,,,
개다시마,,,
개서대,26cm,,
갯장어,40cm,,
고등어,21cm,,
곰피,,,
기름가자미,"21-01-01부터 3년간 17cm, 이후 20cm",,
기수재첩,1.5cm,,
꽃게,6.4cm,,
낙지,,,
넓미역,,,
넙치,35cm,,
농어,30cm,,
닭새우,5cm,,
대게,9cm,,
대구,35cm,,
대문어,,600g,
대하,,,
대황,,,
도루묵,11cm,,
도박류,,,
돌돔,24cm,,
둥근전복,제주 한정 7cm,,
뜸부기,,,
말전복,제주 한정 7cm,,
말쥐치,18cm,,
명태,,,
문치가자미,"21-01-01부터 3년간 17cm, 이후 20cm",,
미거지,40cm,,
민어,33cm,,
방어,30cm,,
백합,5cm,,
볼락,15cm,,
붉은대게,,,
붕장어,35cm,,
살오징어,15cm,,
삼치,,,
새조개,,,
소라,"제주에서는 7cm, 그 외 지역 5cm",,
연어,,,
오분자기,제주 한정 4cm,,
옥돔,,,
왕전복,제주 한정 7cm,,
용가자미,"21-01-01부터 3년간 17cm, 이후 20cm",,
우뭇가사리,,,
전어,,,
조피볼락,23cm,,
주꾸미,,,
쥐노래미,20cm,,
참가자미,"21-01-01부터 3년간 17cm, 이후 20cm",,
참돔,24cm,,
참문어,,,
참조기,15cm,,
참홍어,42cm,,
청어,20cm,,
코끼리조개,,,
큰가리비,,,
키조개,"부산, 울산, 강원, 경북, 경남 한정 18cm",,
털게,7cm,,
톳,,,
펄닭새우,10cm,,
해삼,,,
황돔,15cm,,
황복,20cm,,
