특별 금지행정 ID,특별 금지구역,금지시작기간,금지종료기간
1,강원,2021-04-01,2021-05-31
2,"강원, 경북",2021-04-01,2021-07-31
3,강원연안자망,2021-06-01,2021-07-10
4,"단, 강원, 경북 제외",2021-05-01,2021-07-15
5,"부산, 울산, 경남, 전남, 제주",2021-06-01,2021-09-30
6,연평 등 서해 5도서,2021-07-01,2021-08-31
7,울릉,2021-06-01,2021-09-30
8,유자망,2021-04-22,2021-08-10
9,"전남, 제주",2021-06-01,2021-08-31
10,제주,2021-09-01,2021-11-30
11,제주,2021-10-01,2021-12-31
12,제주 추자면,2021-07-01,2021-09-30
13,,2021-03-01,2021-06-30
14,,2021-07-01,2021-07-31
15,,2021-05-01,2021-05-31
16,,2021-05-01,2021-07-31
17,,2021-11-01,2022-01-31
18,,2021-07-01,2021-08-31
19,,2021-04-01,2021-06-30
20,,2021-05-01,2021-07-31
21,,2021-06-21,2021-08-20
22,,2021-06-01,2021-06-30
23,,2021-07-01,2021-08-31
24,,2021-06-01,2021-11-30
25,,2021-01-16,2021-02-15
26,,2021-05-01,2021-06-30
27,,2021-05-01,2021-07-31
28,,2021-10-01,2022-04-30
29,,2021-08-01,2021-09-30
30,,2021-05-01,2021-07-31
31,,2021-01-01,2021-12-31
32,,2021-12-01,2022-01-31
33,,2021-07-01,2021-08-20
34,,2021-07-10,2021-08-25
35,,2021-04-01,2021-05-31
36,,2021-05-01,2021-05-31
37,,2021-06-16,2021-09-30
38,,2021-10-01,2021-11-30
39,,2021-07-01,2021-08-31
40,,2021-07-21,2021-08-20
41,,2021-11-01,2022-04-30
42,,2021-09-01,2021-10-31
43,,2021-05-11,2021-08-31
44,,2021-11-01,2021-12-31
45,,2021-05-16,2021-06-30
46,,2021-07-01,2021-07-31
47,,2021-06-01,2021-07-15
48,,2021-07-01,2021-08-31
49,,2021-10-01,2022-01-31
50,,2021-06-01,2021-08-31
51,,2021-07-01,2021-07-31
